id;name;Sprache
888;Klaus Töpfer;DE
889;Johannes Heinrich Vogeler;DE
890;Erhard Jauck;DE
891;Lutz Wicke;DE
892;Bundesumweltamt;DE
893;Berliner Senat;DE
894;Bmu;DE
895;Spd Fraktion;DE
896;Desumweltbundesamt;DE
897;Maulkorb;DE
898;Jitzhak Rabin;DE
899;Plo;DE
900;West Bank;DE
901;Härte;DE
902;Kompromi ;DE
903;Necmettin Erbakan;DE
904;Ausbeutung;DE
905;Indonesien;DE
906;Malaysia;DE
907;Pakistan;DE
908;Ägypten;DE
909;Ankara;DE
910;Istanbul;DE
911;Madeleine Albright;DE
912;Anthony Lake;DE
913;Au Enpolitik;DE
914;Bill Richardson;DE
915;Us Kongress;DE
916;Harvard;DE
917;Michigan;DE
918;Washington D C ;DE
919;Wisconsin;DE
920;Klaus Kinkel;DE
921;Guido Westerwelle;DE
922;Stuttgart;DE
923;Dreikönigstag;DE
924;Ludwig Erhard;DE
925;Tony Blair;DE
926;Gerhard Schröder;DE
927;Karl Schiller;DE
928;Erhard Eppler;DE
929;Arbeitslosenquote;DE
930;Bodo Hombach;DE
931;Impotenz;DE
932;Labour Partei;DE
933;Peter Bender;DE
934;St Petersburg;DE
935;Ru Land;DE
936;Petersburg;DE
937;Oder Nei E Grenze;DE
938;Der Tagesspiegel;DE
939;Beutekunst;DE
940;Versöhnung;DE
941;Vorrang;DE
942;Konrad Adenauer;DE
943;Schlesien;DE
944;Dialekt;DE
945;Eugene Stanley;DE
946;Boston;DE
947;Kristall;DE
948;Eiskristall;DE
949;Reinhold Messner;DE
950;Dirk Kurbjuweit;DE
951;Mount Everest;DE
952;Grönland;DE
953;Antarktis;DE
954;Südpol;DE
955;Arktis;DE
956;Nordpol;DE
957;Ernst Eidloth;DE
958;Wolfgang Gehrmann;DE
959;Inzell;DE
960;Überstunde;DE
961;Weltrekord;DE
962;Lorentz Wittmers;DE
963;Ludwig Siegele;DE
964;Minnesota;DE
965;Duluth;DE
966;Fingerzeig;DE
967;Schneesturm;DE
968;Eiszeit;DE
969;Alpenraum;DE
970;Geophysik;DE
971;Island;DE
972;Polarstern;DE
973;Robert Falcon Scott;DE
974;Bremerhaven;DE
975;Innsbruck;DE
976;Kap Hoorn;DE
977;Sibirien;DE
978;Kommunikation;DE
979;Kunst;DE
980;Kunstwerk;DE
981;Alpen;DE
982;Zell Am See;DE
983;Erika Martens;DE
984;Zdf;DE
985;Deutsche Bank;DE
986;Betrug;DE
987;Kredit;DE
988;Rhetorik;DE
989;Gilbert Amelio;DE
990;John Markoff;DE
991;Steve Jobs;DE
992;San Francisco;DE
993;Silicon Valley;DE
994;Apple;DE
995;New York Times;DE
996;Mac;DE
997;Elektronengehirn;DE
998;Personalcomputer;DE
999;Software;DE
1000;Hans Olaf Henkel;DE
1001;Bundesverband Der Deutschen Industrie;DE
1002;Diesel;DE
1003;Mtu;DE
1004;McDonnell Douglas;DE
1005;Multimedia;DE
1006;Chef;DE
1007;Alfred Herrhausen;DE
1008;Mercedes;DE
